,All Default2018 s0,All Default2018 s1,All Default2018 s2
1,69.24882629107981,69.57746478873239,69.55399061032864
2,79.22535211267606,79.27230046948357,79.67136150234741
3,83.35680751173709,83.59154929577464,83.47417840375587
4,85.5868544600939,85.962441314554,85.7981220657277
5,87.44131455399061,87.53521126760563,87.23004694835682
6,88.26291079812206,88.45070422535211,88.4037558685446
7,88.92018779342723,89.22535211267606,89.17840375586854
8,89.48356807511738,89.64788732394366,89.64788732394366
9,89.85915492957747,90.0,90.0
