,Redock Default2018 KD s0,Redock Default2018 KD s1,Redock Default2018 KD s2,Redock Default2018 KD s3,Redock Default2018 KD s4
1,65.32863849765258,64.36619718309859,64.90610328638498,65.46948356807512,65.14084507042254
2,75.96244131455398,75.0,75.32863849765258,75.70422535211267,75.32863849765258
3,80.77464788732395,80.35211267605634,80.16431924882629,80.51643192488262,80.30516431924882
4,83.54460093896714,82.88732394366197,83.16901408450704,83.66197183098592,83.21596244131455
5,85.4225352112676,85.0,85.16431924882629,85.49295774647887,85.14084507042253
6,86.5962441314554,86.17370892018779,86.52582159624413,86.61971830985915,86.31455399061034
7,87.53521126760563,86.90140845070422,87.53521126760563,87.48826291079811,87.25352112676056
8,88.00469483568075,87.74647887323944,88.16901408450704,88.21596244131456,87.93427230046949
9,88.66197183098592,88.21596244131456,88.52112676056339,88.63849765258216,88.5680751173709
